#,phrase,&, total freq,&,word1,&,freq1,&,word2,&,freq2,&,word3,&,freq3,&,word4,&,freq4, \\ \hline
99, ah niece cole dower ,&,233154,&, ah ,&,229296,&, niece ,&,1693,&, cole ,&,2073,&, dower ,&,92, \\ \hline
100, ah niece kohl dour ,&,232020,&, ah ,&,229296,&, niece ,&,1693,&, kohl ,&,912,&, dour ,&,119, \\ \hline
101, ah niece kohl dower ,&,231993,&, ah ,&,229296,&, niece ,&,1693,&, kohl ,&,912,&, dower ,&,92, \\ \hline
74, ah gneiss cole dour ,&,231509,&, ah ,&,229296,&, gneiss ,&,21,&, cole ,&,2073,&, dour ,&,119, \\ \hline
75, ah gneiss cole dower ,&,231482,&, ah ,&,229296,&, gneiss ,&,21,&, cole ,&,2073,&, dower ,&,92, \\ \hline
104, ah nigh skol dour ,&,230814,&, ah ,&,229296,&, nigh ,&,1394,&, skol ,&,5,&, dour ,&,119, \\ \hline
105, ah nigh skol dower ,&,230787,&, ah ,&,229296,&, nigh ,&,1394,&, skol ,&,5,&, dower ,&,92, \\ \hline
76, ah gneiss kohl dour ,&,230348,&, ah ,&,229296,&, gneiss ,&,21,&, kohl ,&,912,&, dour ,&,119, \\ \hline
77, ah gneiss kohl dower ,&,230321,&, ah ,&,229296,&, gneiss ,&,21,&, kohl ,&,912,&, dower ,&,92, \\ \hline
108, ah nye skol dour ,&,229457,&, ah ,&,229296,&, nye ,&,37,&, skol ,&,5,&, dour ,&,119, \\ \hline
109, ah nye skol dower ,&,229430,&, ah ,&,229296,&, nye ,&,37,&, skol ,&,5,&, dower ,&,92, \\ \hline
196, et nice coal dour ,&,218006,&, et ,&,6731,&, nice ,&,190708,&, coal ,&,20448,&, dour ,&,119, \\ \hline
197, et nice coal dower ,&,217979,&, et ,&,6731,&, nice ,&,190708,&, coal ,&,20448,&, dower ,&,92, \\ \hline
236, o' nice coal dour ,&,211738,&, o' ,&,463,&, nice ,&,190708,&, coal ,&,20448,&, dour ,&,119, \\ \hline
237, o' nice coal dower ,&,211711,&, o' ,&,463,&, nice ,&,190708,&, coal ,&,20448,&, dower ,&,92, \\ \hline
4, 'n' aye scold hour ,&,202533,&, 'n' ,&,0,&, aye ,&,130503,&, scold ,&,217,&, hour ,&,71813, \\ \hline
200, et nice cole dour ,&,199631,&, et ,&,6731,&, nice ,&,190708,&, cole ,&,2073,&, dour ,&,119, \\ \hline
201, et nice cole dower ,&,199604,&, et ,&,6731,&, nice ,&,190708,&, cole ,&,2073,&, dower ,&,92, \\ \hline
202, et nice kohl dour ,&,198470,&, et ,&,6731,&, nice ,&,190708,&, kohl ,&,912,&, dour ,&,119, \\ \hline
203, et nice kohl dower ,&,198443,&, et ,&,6731,&, nice ,&,190708,&, kohl ,&,912,&, dower ,&,92, \\ \hline
